τ (%)	P (bar)	T (K)	φ	SL0 (cm/s)	Lb(mm)
0	1	323	0.904	31.873	1.081
0	1	323	0.935	32.490	1.030
0	1	323	1.011	34.818	0.974
0	1	323	1.047	35.203	0.874
0	1	323	1.115	35.009	0.771
0	1	323	1.150	34.358	0.656
0	1	323	1.220	32.169	0.451
0	1	323	1.292	28.784	0.135
0	1	323	1.405	20.071	-1.096
0	1	323	1.507	13.315	-2.994
0	1	323	1.612	8.691	-5.233
0	1	373	0.843	38.355	1.001
0	1	373	0.924	41.827	0.931
0	1	373	1.004	43.488	0.889
0	1	373	1.044	43.763	0.767
0	1	373	1.089	43.952	0.693
0	1	373	1.167	42.911	0.494
0	1	373	1.213	40.344	0.336
0	1	373	1.293	35.515	-0.022
0	1	373	1.418	24.573	-1.145
0	1	373	1.496	17.377	-2.700
0	1	373	1.628	11.229	-4.442
0	1	423	0.821	46.825	1.011
0	1	423	0.912	52.041	0.873
0	1	423	1.003	55.223	0.759
0	1	423	1.049	55.975	0.682
0	1	423	1.099	55.633	0.612
0	1	423	1.185	53.101	0.523
0	1	423	1.247	49.769	0.273
0	1	423	1.335	40.541	-0.116
0	1	423	1.424	29.843	-0.987
0	1	423	1.516	21.702	-2.383
0	1	423	1.612	15.512	-3.921
0	1	473	0.713	49.458	0.989
0	1	473	0.815	58.974	0.920
0	1	473	0.920	65.619	0.799
0	1	473	1.022	68.787	0.686
0	1	473	1.073	68.316	0.609
0	1	473	1.124	66.981	0.540
0	1	473	1.237	60.705	0.283
0	1	473	1.336	49.696	-0.196
0	1	473	1.387	45.276	-0.342
0	1	473	1.490	31.191	-1.486
0	1	473	1.593	20.671	-2.150
0	2	323	0.796	21.475	0.951
0	2	323	0.901	26.959	0.761
0	2	323	1.006	30.007	0.587
0	2	323	1.060	30.840	0.494
0	2	323	1.094	30.843	0.410
0	2	323	1.148	30.296	0.291
0	2	323	1.202	28.386	0.082
0	2	323	1.308	23.086	-0.504
0	2	323	1.399	17.591	-0.768
0	2	323	1.503	12.327	-1.670
0	2	373	0.759	24.652	0.797
0	2	373	0.799	27.071	0.804
0	2	373	0.900	33.997	0.686
0	2	373	1.002	37.712	0.543
0	2	373	1.064	38.395	0.448
0	2	373	1.104	38.260	0.371
0	2	373	1.145	37.184	0.287
0	2	373	1.205	35.108	0.104
0	2	373	1.312	28.594	-0.252
0	2	373	1.412	21.601	-0.706
0	2	373	1.498	16.129	-1.298
0	2	423	0.701	28.393	0.851
0	2	423	0.792	36.754	0.731
0	2	423	0.908	44.658	0.531
0	2	423	1.000	48.076	0.458
0	2	423	1.050	49.211	0.383
0	2	423	1.094	48.905	0.338
0	2	423	1.162	48.007	0.215
0	2	423	1.211	45.539	0.080
0	2	423	1.304	39.155	-0.181
0	2	423	1.398	30.617	-0.553
0	2	423	1.510	20.243	-1.029
0	2	473	0.657	31.372	0.901
0	2	473	0.708	36.858	0.808
0	2	473	0.812	47.981	0.656
0	2	473	0.914	56.185	0.519
0	2	473	0.994	59.666	0.454
0	2	473	1.046	60.865	0.397
0	2	473	1.095	60.865	0.357
0	2	473	1.146	59.800	0.268
0	2	473	1.199	57.782	0.174
0	2	473	1.305	49.026	-0.165
0	2	473	1.407	36.452	-0.585
0	2	473	1.509	25.279	-1.445
0	3	323	0.748	16.260	0.933
0	3	323	0.807	19.263	0.719
0	3	323	0.901	23.774	0.549
0	3	323	1.005	26.638	0.365
0	3	323	1.053	27.344	0.359
0	3	323	1.100	27.456	0.233
0	3	323	1.149	26.988	0.162
0	3	323	1.206	25.732	0.087
0	3	323	1.252	23.842	0.071
0	3	373	0.758	21.749	0.708
0	3	373	0.799	24.330	0.626
0	3	373	0.906	30.471	0.457
0	3	373	1.003	33.240	0.342
0	3	373	1.056	34.216	0.293
0	3	373	1.098	34.098	0.203
0	3	373	1.151	33.354	0.105
0	3	373	1.205	31.312	0.010
0	3	373	1.302	26.363	-0.177
0	3	423	0.709	25.799	0.709
0	3	423	0.800	32.636	0.508
0	3	423	0.908	39.999	0.415
0	3	423	1.000	43.418	0.325
0	3	423	1.046	44.251	0.284
0	3	423	1.108	44.122	0.184
0	3	423	1.155	43.303	0.114
0	3	423	1.200	42.101	0.106
0	3	423	1.309	35.244	-0.088
0	3	473	0.606	21.196	0.964
0	3	473	0.708	32.722	0.631
0	3	473	0.811	42.743	0.456
0	3	473	0.895	48.426	0.349
0	3	473	1.000	53.698	0.271
0	3	473	1.050	54.335	0.246
0	3	473	1.104	54.115	0.124
0	3	473	1.155	53.741	0.109
0	3	473	1.206	50.507	-0.001
0	3	473	1.311	43.787	-0.059
0	5	323	0.753	13.601	0.687
0	5	323	0.802	16.075	0.569
0	5	323	0.900	20.291	0.348
0	5	323	1.006	23.060	0.255
0	5	323	1.054	23.625	0.116
0	5	323	1.101	23.989	0.155
0	5	323	1.154	23.600	0.153
0	5	323	1.203	22.501	0.119
0	5	373	0.702	14.864	0.619
0	5	373	0.798	20.472	0.489
0	5	373	0.904	26.605	0.292
0	5	373	1.000	29.027	0.246
0	5	373	1.049	29.432	0.149
0	5	373	1.099	29.659	0.132
0	5	373	1.155	29.026	-0.017
0	5	373	1.206	27.066	-0.091
0	5	423	0.651	16.840	0.902
0	5	423	0.705	20.894	0.561
0	5	423	0.805	27.928	0.333
0	5	423	0.897	33.297	0.247
0	5	423	0.998	37.147	0.173
0	5	423	1.054	37.646	0.137
0	5	423	1.100	37.719	0.119
0	5	423	1.158	37.012	0.010
0	5	423	1.202	35.366	-0.171
0	5	473	0.697	25.457	0.486
0	5	473	0.749	29.549	0.459
0	5	473	0.800	34.109	0.408
0	5	473	0.902	41.606	0.205
0	5	473	1.005	46.075	0.146
