νO2 (%)	P (bar)	T (K)	φ	SL0(cm/s)	Lb(mm)
20.5	1	423	0.821	46.825	1.011
20.5	1	423	0.912	52.041	0.873
20.5	1	423	1.003	55.223	0.759
20.5	1	423	1.049	55.975	0.682
20.5	1	423	1.099	55.633	0.612
20.5	1	423	1.185	53.101	0.523
20.5	1	423	1.247	49.769	0.273
20.5	1	423	1.335	40.541	-0.116
20.5	1	423	1.424	29.843	-0.987
20.5	1	423	1.516	21.702	-2.383
20.5	1	423	1.612	15.512	-3.921
23	1	423	0.815	62.583	0.893
23	1	423	0.898	66.493	0.811
23	1	423	1.016	71.031	0.686
23	1	423	1.071	71.870	0.636
23	1	423	1.109	71.672	0.586
23	1	423	1.142	69.894	0.550
23	1	423	1.223	65.365	0.334
23	1	423	1.320	57.423	0.074
25	1	423	0.783	71.497	0.818
25	1	423	0.899	81.391	0.679
25	1	423	1.011	86.467	0.575
25	1	423	1.047	87.045	0.538
25	1	423	1.086	86.765	0.507
25	1	423	1.168	85.199	0.410
25	1	423	1.203	83.270	0.375
25	1	423	1.326	72.068	0.126
