Tu (K)	Pu (atm)	Equivalence Ratio	SL0 (cm/s)	α	β	Method	Reference
300	1	0.65	16.96			Stagnation flame/linear 	Davis and Law  1998
300	1	0.70	20.92			Stagnation flame/linear 	Davis and Law  1998
300	1	0.81	26.57			Stagnation flame/linear 	Davis and Law  1998
300	1	0.86	30.11			Stagnation flame/linear 	Davis and Law  1998
300	1	0.91	32.37			Stagnation flame/linear 	Davis and Law  1998
300	1	1.00	35.34			Stagnation flame/linear 	Davis and Law  1998
300	1	1.07	35.19			Stagnation flame/linear 	Davis and Law  1998
300	1	1.11	34.91			Stagnation flame/linear 	Davis and Law  1998
300	1	1.22	32.23			Stagnation flame/linear 	Davis and Law  1998
300	1	1.28	29.26			Stagnation flame/linear 	Davis and Law  1998
300	1	1.33	26.57			Stagnation flame/linear 	Davis and Law  1998
300	1	1.38	22.47			Stagnation flame/linear 	Davis and Law  1998
300	1	1.49	16.40			Stagnation flame/linear 	Davis and Law  1998
300	1	1.70	10.32			Stagnation flame/linear 	Davis and Law  1998
358	1	0.80	40.21			Spherical flame/linear	Bradley et al. 1998
358	1	0.80	41.63			Spherical flame/linear	Bradley et al. 1998
358	1	0.90	42.82			Spherical flame/linear	Bradley et al. 1998
358	1	1.00	43.79			Spherical flame/linear	Bradley et al. 1998
358	1	1.10	44.81			Spherical flame/linear	Bradley et al. 1998
358	1	1.10	46.47			Spherical flame/linear	Bradley et al. 1998
358	1	1.00	45.83			Spherical flame/linear	Bradley et al. 1998
358	1	1.20	39.33			Spherical flame/linear	Bradley et al. 1998
358	1	1.30	35.11			Spherical flame/linear	Bradley et al. 1998
358	1	0.90	46.38			Spherical flame/linear	Bradley et al. 1998
358	2.5	1.00	35.28			Spherical flame/linear	Bradley et al. 1998
358	2.5	1.00	38.83			Spherical flame/linear	Bradley et al. 1998
358	2.5	0.80	25.91			Spherical flame/linear	Bradley et al. 1998
358	2.5	0.80	24.46			Spherical flame/linear	Bradley et al. 1998
358	5	1.00	31.63			Spherical flame/linear	Bradley et al. 1998
358	5	1.00	32.33			Spherical flame/linear	Bradley et al. 1998
358	5	0.80	24.87			Spherical flame/linear	Bradley et al. 1998
