T_5 (K)	P_5 (atm)	phi (-)	x_iC8H18 (-)	x_O2 (-)	x_N2 (-)	x_He (-)	S_L (cm/s)	L_b (cm)
502.6237	1.0039	0.9004	0.0128	0.1777	0.4051	0.4044	74.53931	0.1127
545.6507	1.0828	0.9004	0.0128	0.1777	0.4051	0.4044	93.45639	0.0973
561.5786	0.98	0.9004	0.0128	0.1777	0.4051	0.4044	99.73302	0.1032
584.2551	0.9794	0.9004	0.0128	0.1777	0.4051	0.4044	108.18961	0.0924
595.1517	0.9455	0.9004	0.0128	0.1777	0.4051	0.4044	103.79668	0.0863
620.8421	0.9624	0.9004	0.0128	0.1777	0.4051	0.4044	150.41909	0.08
628.9344	0.9167	0.9004	0.0128	0.1777	0.4051	0.4044	190.4084	0.071
640.8406	0.9634	0.9004	0.0128	0.1777	0.4051	0.4044	198.54993	0.0745
671.9277	1.0049	0.9004	0.0128	0.1777	0.4051	0.4044	264.45472	0.0955
703.7452	0.9724	0.9004	0.0128	0.1777	0.4051	0.4044	376.70835	0.0856
682.3326	0.9023	0.9004	0.0128	0.1777	0.4049	0.4046	217.75403	0.0746
608.3688	1.0345	0.9004	0.0128	0.1777	0.4049	0.4046	146.79771	0.0898
737.3712	0.956	0.9004	0.0128	0.1777	0.4049	0.4046	366.65886	0.1025
669.3641	0.9704	0.9004	0.0128	0.1777	0.4049	0.4046	213.56221	0.1027
677.6503	0.9945	0.9004	0.0128	0.1777	0.4049	0.4046	229.65433	0.111
732.0388	1.0127	0.9004	0.0128	0.1777	0.4049	0.4046	315.78682	0.0722
716.4755	0.9852	0.9004	0.0128	0.1777	0.4049	0.4046	347.74616	0.0729
756.6258	1.0161	0.9004	0.0128	0.1777	0.4049	0.4046	348.32781	0.1041
785.0389	1.028	0.9004	0.0128	0.1777	0.4049	0.4046	276.80964	0.0833
779.1287	0.947	0.9004	0.0128	0.1777	0.4049	0.4046	329.31306	0.1138
785.4146	0.9586	0.9004	0.0128	0.1777	0.4049	0.4046	306.43568	0.0961
803.9925	1.0054	0.9004	0.0128	0.1777	0.4049	0.4046	243.26879	0.0475
827.6896	0.9976	0.9004	0.0128	0.1777	0.4049	0.4046	326.04053	0.0139
881.1882	1.0176	0.9004	0.0128	0.1777	0.4049	0.4046	425.84616	0.0691
840.8756	0.9804	0.9004	0.0128	0.1777	0.4049	0.4046	337.1618	0.0646
839.6285	0.9704	0.9004	0.0128	0.1777	0.4049	0.4046	334.20094	0.0591
795.2958	0.9405	0.9004	0.0128	0.1777	0.4049	0.4046	299.93139	0.0497
794.5618	0.9361	0.9004	0.0128	0.1777	0.4049	0.4046	255.7248	0.0474
743.4687	0.9328	0.9004	0.0128	0.1777	0.4049	0.4046	362.46535	0.0949
705.0255	0.9621	0.9004	0.0128	0.1777	0.4049	0.4046	387.15244	0.0602
886.826	1.0102	0.9004	0.0128	0.1777	0.4049	0.4046	417.73606	0.0496
